# Zeitpunkt	Verdunstung berechnet [mm/h]
2004-06-01 02:00:00	0.002076
2004-06-01 03:00:00	0
2004-06-01 04:00:00	0.002082
2004-06-01 05:00:00	0
2004-06-01 06:00:00	0.009483
2004-06-01 07:00:00	0.031304
2004-06-01 08:00:00	0.094825
2004-06-01 09:00:00	0.109714
2004-06-01 10:00:00	0.10855
2004-06-01 11:00:00	0.124046
2004-06-01 12:00:00	0.135141
2004-06-01 13:00:00	0.140583
2004-06-01 14:00:00	0.145666
2004-06-01 15:00:00	0.150237
2004-06-01 16:00:00	0.120701
2004-06-01 17:00:00	0.081938
2004-06-01 18:00:00	0.062353
2004-06-01 19:00:00	0.03806
2004-06-01 20:00:00	0.016338
2004-06-01 21:00:00	0.002361
2004-06-01 22:00:00	0.003013
2004-06-01 23:00:00	0.00547
2004-06-02 00:00:00	0.004528
2004-06-02 01:00:00	0.002069
2004-06-02 02:00:00	0.001339
2004-06-02 03:00:00	0.003025
2004-06-02 04:00:00	0.004031
2004-06-02 05:00:00	0.001941
2004-06-02 06:00:00	0.008455
2004-06-02 07:00:00	0.025893
2004-06-02 08:00:00	0.055477
2004-06-02 09:00:00	0.169435
2004-06-02 10:00:00	0.315885
2004-06-02 11:00:00	0.22342
2004-06-02 12:00:00	0.173154
2004-06-02 13:00:00	0.183815
2004-06-02 14:00:00	0.137792
2004-06-02 15:00:00	0.126933
2004-06-02 16:00:00	0.243449
2004-06-02 17:00:00	0.165447
2004-06-02 18:00:00	0.140678
2004-06-02 19:00:00	0.058089
2004-06-02 20:00:00	0.017312
2004-06-02 21:00:00	0.006533
2004-06-02 22:00:00	0.009953
2004-06-02 23:00:00	0
2004-06-03 00:00:00	0.006041
2004-06-03 01:00:00	0.00495
2004-06-03 02:00:00	0.009681
2004-06-03 03:00:00	0.006371
2004-06-03 04:00:00	0.006061
2004-06-03 05:00:00	0.004378
2004-06-03 06:00:00	0.014371
2004-06-03 07:00:00	0.035894
2004-06-03 08:00:00	0.050592
2004-06-03 09:00:00	0.071796
2004-06-03 10:00:00	0.092239
2004-06-03 11:00:00	0.096381
2004-06-03 12:00:00	0.111252
2004-06-03 13:00:00	0.104859
2004-06-03 14:00:00	0.106262
2004-06-03 15:00:00	0.096813
2004-06-03 16:00:00	0.095973
2004-06-03 17:00:00	0.079981
2004-06-03 18:00:00	0.057278
2004-06-03 19:00:00	0.033297
